#,Data,Evento,Location,Città,Tipologia,Artista/i
1,11/01/2025,Urali + Arianna Pasini,Covo Club,Bologna,Concerto,2
2,17/01/2025,Whitemary @ Locomotiv Club,Locomotiv Club,Bologna,Concerto,1
3,18/01/2025,Vintage Violence @ Locomotiv Club,Locomotiv Club,Bologna,Concerto,1
4,23/01/2025,I Hate My Village @ Locomotiv Club,Locomotiv Club,Bologna,Concerto,1
5,24/01/2025,Struzzi Decenti #15: Tiger! Shit! Tiger! Tiger! + Milo @ FreakOut Club,FreakOut Club,Bologna,Concerto,3
6,25/01/2025,Softcore,Locomotiv Club,Bologna,DJ Set,1
8,06/02/2025,Tostoi + Post Nebbia @ Locomotiv Club,Locomotiv Club,Bologna,Concerto,2
9,12/02/2025,Pantera @ Unipol Arena,Unipol Arena,Bologna,Concerto,1
10,13/02/2025,Mob Deep @ Locomotiv Club,Locomotiv Club,Bologna,Concerto,1
11,22/02/2025,Konoha - HC NIGHT @ Circolo HEX,Circolo Hex,Bologna,Concerto,1
12,23/02/2025,Leatherette @ Freakout Club,Freakout Club,Bologna,Concerto,1
13,26/02/2025,Il Teatro degli Orrori @ Estragon Club,Estragon Club,Bologna,Concerto,1
14,03/03/2025,Chris Eckman + TRAUM @ FreakOut Club,Freakout Club,Bologna,Concerto,2
15,08/03/2025,Offlaga Disco Pax,Locomotiv Club,Bologna,Concerto,1
16,15/03/2025,Folkabbestia @ Irlanda in Festa,Piazza Lucio Dalla,Bologna,Concerto,1
17,22/03/2025,Chiaroscuro + Cosmetic,Covo Club,Bologna,Concerto,2
18,29/03/2025,Limp Bizkit + Karen Dió + N8noface + Ecca Vandal + Bones @ LOSERVILLE 2025,Unipol Arena,Casalecchio Di Reno,Festival,5
19,31/03/2025,Lenny Kravitz,Unipol Arena,Casalecchio Di Reno,Concerto,1
20,04/04/2025,Iosonouncane,Locomotiv Club,Bologna,Concerto,1
21,06/04/2025,Meg 30,Locomotiv Club,Bologna,Concerto,1
22,11/04/2025,IL Mago del Gelato,Covo Club,Bologna,Concerto,1
23,12/04/2025,Katana Koala Kiwi + C+C Maxigros,Covo Club,Bologna,Concerto,2
24,13/04/2025,P38,Ex Bocciofila,Bologna,Concerto,1
25,14/04/2025,Trip + Bebawinigi,Freakout Club,Bologna,Concerto,1
26,01/05/2025,Samuel + Poche Spanne @ Concerto del Primo Maggio,Piazza Maggiore,Bologna,Festival,3
27,02/05/2025,Splatterpink @ Frida nel parco,Parco della Montagnola,Bologna,Concerto,1
28,03/05/2025,WEL + Puncake,Covo Club,Bologna,Concerto,1
29,10/05/2025,Motorpsycho,Vidia Club,Cesena,Concerto,1
30,16/05/2025,Valentino Vivace + Dov' è Liana + Fenoaltea @ Gemini Festival,Dumbo,Bologna,Festival,3
31,17/05/2025,Maseeni + Danielle,Covo Club,Bologna,Concerto,2
32,23/05/2025,Messa + Fulci I Patagarri + Noyz Narcos + Fuckyourclique @ Mi Ami Festival,Idroscalo,Milano,Concerto,5
33,24/05/2025,Fitness Forever + Il mago del gelato + Shablo + Offlaga Disco Pax + Teatro degli Orrori + Studio Murena @ Mi Ami Festival,Idroscalo,Milano,Concerto,6
34,30/05/2025,66 cl + Riviera,CSOA Spartaco,Ravenna,Concerto,3
35,16/06/2025,Fontaines D.C. DJ Set @ Montagnola Republica,Parco della Montagnola,Bologna,DJ Set,1
36,17/06/2025,Fontaines D.C. + Shame @ Sequoie Music Park,Parco delle Caserme Rosse,Bologna,Concerto,2
37,18/06/2025,The KVB @ Botanique,Giardini Filippo Re,Bologna,Concerto,1
38,19/06/2025,Cesare Cremonini,Stadio Dall'Ara,Bologna,Concerto,1
39,21/06/2025,99 Posse @ Botanique,Giardini Filippo Re,Bologna,Concerto,1
40,24/06/2025,Jimmy Eat World + Spiritbox + Linkin Park,Ippodromo SNAI,Milano,Concerto,3
41,26/06/2025,Afterhours,Parco delle Caserme Rosse,Bologna,Concerto,1
42,01/07/2025,Paolo Baldini @ Botanique,Giardini Filippo Re,Bologna,Concerto,1
43,02/07/2025,Karate,Hana Bi,Marina di Ravenna,Concerto,1
44,04/07/2025,La Niña,Dumbo,Bologna,Concerto,1
45,05/07/2025,Giancane,Giardini Filippo Re,Bologna,Concerto,1
46,06/07/2025,Jorja Smith @ Sequoie Music Park,Parco delle Caserme Rosse,Bologna,Concerto,1
47,07/07/2025,Girlg Gang DJ Set,Cavaticcio,Bologna,DJ Set,1
48,08/07/2025,Alice Cooper @ Sequoie Music Park,Parco delle Caserme Rosse,Bologna,Concerto,1
49,09/07/2025,Skunk Anansie @ Sequoie Music Park,Parco delle Caserme Rosse,Bologna,Concerto,1
50,10/07/2025,Fabri Fibra @ Sequoie Music Park,Parco delle Caserme Rosse,Bologna,Concerto,1
51,17/07/2025,YĪN YĪN @ Botanique,Giardini Filippo Re,Bologna,Concerto,1
52,18/07/2025,Post Nebbia @ Botanique,Giardini Filippo Re,Bologna,Concerto,1
53,25/07/2025,Die Abete + Liquami + Milo @ Italian Party,Piattaforma,Umbertide (PG),Festival,3
54,26/07/2025,Gazebo Penguins + Asino @ Italian Party,Piattaforma,Umbertide (PG),Festival,3
55,27/07/2025,Caso @ Italian Party,Associazione Corrente,Umbertide (PG),Festival,1
