Concerti 2018,,,,,,,,
#,Data,Evento,,Tipologia,Artista/i,,Concerti,69
1,18/01/2018,Colapesce @ Teatro Antoniano,,Concerto,1,,Festival,13
2,20/01/2018,Andrea Laszlo De Simone @ Covo Club,,Concerto,1,,Presentazione CD,0
3,26/01/2018,Fine Before You Came @ Covo Club,,Concerto,1,,DJ Set,0
4,10/02/2018,Calibro 35 @ Locomotiv Club,,Concerto,2,,,
5,12/02/2018,Metallica @ Unipol Arena,,Concerto,1,,Totale live,82
6,16/02/2018,La Rappresenta di Lista @ Mercato Sonato,,Concerto,1,,,
7,17/02/2018,Baciamolemani @ Club 33 Giri,,Concerto,1,,Totale artisti live,128
8,24/02/2018,The Soft Mooon @ Covo Club,,Concerto,1,,,
9,02/03/2018,Pinguini Tattici Nucleari @ Covo Club,,Concerto,1,,,
10,03/03/2018,Slowdive @ Locomotiv,,Concerto,1,,,
11,13/03/2018,Iosonouncane + Paolo Angeli @ Antoniano,,Concerto,1,,,
12,15/03/2018,Franz Ferdinand @ Unipol,,Concerto,2,,,
13,16/03/2018,Tubax @ Mercato Sonato,,Concerto,3,,,
14,17/03/2018,Cosmotronic @ LINK,,Concerto,2,,,
15,23/03/2018,"It's a wave | Suvari, San Diego, Le Mandorle",,Concerto,3,,,
16,24/03/2018,Soviet Soviet @ Covo Club,,Concerto,1,,,
17,26/03/2018,Marcus Miller @ Teatro Antoniano,,Concerto,1,,,
18,28/3/2018,Fede N' Marlen @ L' Altro Spazio,,Concerto,1,,,
19,31/3/2018,Siberia @ Covo Club,,Concerto,1,,,
20,05/04/2018,Ministri @ Estragon,,Concerto,2,,,
21,10/04/2018,Afterhours @ Mediolanum Forum,,Concerto,1,,,
21,12/4/2018,Baustelle @ Estragon,,Concerto,2,,,
22,13/4/2018,The Zen Circus @ Estragon,,Concerto,1,,,
23,19/4/2018,Bud Spencer Blues Explosion @ Locomotiv,,Concerto,2,,,
24,20/4/2018,Ministri @ Vox Club,,Festival,2,,,
25,21/04/2018,Roger Waters @ Unipol Arena,,Festival,1,,,
26,10/05/2018,Elio e le Storie Tese @ Unipol Arena,,Concerto,2,,,
27,12/05/2018,Shame @ Covo Club,,Concerto,1,,,
28,16/5/2018,Her Skin @ Off Club,,Concerto,1,,,
29,26/05/2018,MiAmi Festival @ Circolo Magnolia,,Festival,1,,,
30,1/6/2018,Bud Spencer Blues Explosion @ Cavaticcio,,Concerto,1,,,
31,03/06/2018,Colapesce @ Cavaticcio,,Concerto,1,,,
32,04/06/2018,Andrea Laszlo De Simone @ Cavaticcio	,,Concerto,1,,,
33,05/06/2018,Coma_Cose @ Cavaticcio        ,,Concerto,1,,,
34,06/06/2018,Cimini @ Cavaticcio                ,,Concerto,1,,,
35,07/06/2018,Willie Peyote @ Cavaticcio                ,,Concerto,1,,,
36,08/06/2018,Pinguini Tattici Nucleari @ Cavaticcio,,Concerto,1,,,
37,10/6/2018,Jovanotti @ Piazza Maggiore,,Concerto,1,,,
38,12/6/2018,Lo Stato Sociale @ Piazza Maggiore,,Concerto,1,,,
39,14/06/2018,Foo Fighters @ Firenze Rocks,,Festival,1,,,
40,16/06/2018,Iron Maiden @ Firenze Rocks,,Festival,2,,,
41,20/06/2018,Galeffi @ Cavaticcio,,Concerto,1,,,
42,26/6/2018,Cesare Cremonini @ Stadio Renato Dall' Ara,,Concerto,1,,,
43,1/7/2018,Ancora #5 Festival @ Covo,,Festival,4,,,
44,03/07/2018,Paolo Fresu & Daniele Di Bonaventura @ Giardini Filippo Re,,Concerto,1,,,
45,07/07/2018,Japandroids @ Covo Club,,Concerto,1,,,
46,11/7/2018,JoyCut @ Botanique,,Concerto,1,,,
47,10/7/2018,Particle Kid @ Hana-Bi,,Concerto,1,,,
48,20/7/2018,To Lose La Track - Italian Party,,Festival,5,,,
49,24/7/2018,Paolo Cevoli e Saxofollia - Rossini Compilation,,Concerto,1,,,
50,26/7/2018,Rumba Da Bodas @ Montagnola,,Concerto,1,,,
