Concerti 2019,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
#,Data,Evento,,Tipologia,Artista/i,,#,Data,Evento,,Tipologia,Artista/i,,,,,,,,Concerti,85,,,
1,14/01/2019,Uccelli + I Camillas @ Locomotiv Club,,Concerto,2,,,,,,,,,,,,,,,Festival,14,,,
2,19/01/2019,Riccardo Sinigallia @ Locomotiv Club,,Concerto,1,,,,,,,,,,,,,,,Presentazione CD,1,,,
3,19/01/2019,La Famiglia @ Freakout Club,,Concerto,1,,,,,,,,,,,,,,,DJ Set,0,,,
4,02/02/2019,Myss Keta + Cosmo @ Mediolanum Forum,,Concerto,2,,,,,,,,,,,,,,,,,,,
5,09/02/2019,Warmduscher @ Covo Club,,Concerto,4,,,,,,,,,,,,,,,Totale live,100,,,
6,12/02/2019,Subsonica @ Unipol Arena,,Concerto,1,,,,,,,,,,,,,,,,,,,
7,14/02/2019,I Hate My Village @ Locomotiv Club,,Concerto,1,,,,,,,,,,,,,,,Totale artisti live,182,,,
8,15/02/2019,Riviera + Urali @ Freakout Club,,Concerto,2,,,,,,,,,,,,,,,,,,,
9,16/02/2019,Cloud Nothings + Big Mountains @ Covo Club,,Concerto,2,,,,,,,,,,,,,,,,,,,
10,20/02/2019,Massimo Volume @ Teatro Manzoni,,Concerto,1,,,,,,,,,,,,,,,,,,,
11,01/03/2019,Be Forest @ Covo Club,,Concerto,1,,,,,,,,,,,,,,,,,,,
12,02/03/2019,Giardini di Mirò @ Locomotiv Club,,Concerto,1,,,,,,,,,,,,,,,,,,,
13,09/03/2019,Felpa + Wild Nothing @ Covo Club,,Concerto,2,,,,,,,,,,,,,,,,,,,
14,11/03/2019,White Lies + Boniface @ Estragon,,Concerto,2,,,,,,,,,,,,,,,,,,,
15,16/03/2019,Salmo @ Unipol Arena,,Concerto,1,,,,,,,,,,,,,,,,,,,
16,17/03/2019,Florence + The Machine @ Unipol Arena,,Concerto,1,,,,,,,,,,,,,,,,,,,
17,19/03/2019,Nasdat @ Freakout Club,,Concerto,1,,,,,,,,,,,,,,,,,,,
18,21/03/2019,Edda @ Locomotiv Club,,Concerto,1,,,,,,,,,,,,,,,,,,,
19,22/03/2019,Xiu Xiu @ Covo Club,,Concerto,1,,,,,,,,,,,,,,,,,,,
20,23/03/2019,La Rappresentante di Lista @ Locomotiv Club,,Concerto,1,,,,,,,,,,,,,,,,,,,
21,26/03/2019,Frank Carter and the Rattlesnakes @ Locomotiv Club,,Concerto,1,,,,,,,,,,,,,,,,,,,
22,28/03/2019,Aaabu + Cara Calma @ Cortile Cafè,,Concerto,2,,,,,,,,,,,,,,,,,,,
23,29/03/2019,C'Mon Tigre @ Bronson,,Concerto,1,,,,,,,,,,,,,,,,,,,
24,05/04/2019,Cosmetic @ Mikasa Club,,Concerto,1,,,,,,,,,,,,,,,,,,,
25,11/04/2019,Giorgio Poi @ Locomotiv Club,,Concerto,1,,,,,,,,,,,,,,,,,,,Clavdio + Coma Cose + FASK + Gomma + Massimo Pericolo + Speranza + Ketama126 
26,12/04/2019,An Evening with Manuel Agnelli @ Teatro Manzoni,,Concerto,1,,,,,,,,,,,,,,,,,,,Sick Tamburo + Riccardo Sinigallia + Margherita Vicario + Mahmood + Myss Keta
27,13/04/2019,Cut + Giuda @ Covo Club,,Concerto,2,,,,,,,,,,,,,,,,,,,Giorgio Canali + DiMartino + Any Other + Andrea Laszlo De Simone + La Rappresentante di Lista
28,19/04/2019,To Lose La Track Party @ Mikasa    ,,Concerto,3,,,,,,,,,,,,,,,,,,,
29,20/04/2019,Leo Pari e Auroro Borealo + The Shark @ Covo Club        ,,Concerto,3,,,,,,,,,,,,,,,,,,,
30,19/04/2019,Ronin @ Mikasa,,Concerto,1,,,,,,,,,,,,,,,,,,,
31,26/04/2019,Sick Tamburo + La Discoteca @ Covo Club,,Concerto,2,,,,,,,,,,,,,,,,,,,
32,27/04/2019,Mono + Arabrot + Jo Quai @ TPO,,Concerto,3,,,,,,,,,,,,,,,,,,,
33,01/05/2019,Murubutu + Après La Classe @ Piazza Maggiore,,Concerto,2,,,,,,,,,,,,,,,,,,,
34,04/05/2019,Nu Guinea @ LINK,,Concerto,1,,,,,,,,,,,,,,,,,,,
35,10/05/2019,Myss Keta @ Locomotiv Club,,Concerto,1,,,,,,,,,,,,,,,,,,,
36,11/05/2019,Zu + Uochi Toki @ TPO,,Concerto,2,,,,,,,,,,,,,,,,,,,
37,12/05/2019,Fast Animals and Slow Kids @ Mondadori,,Presentazione CD,1,,,,,,,,,,,,,,,,,,,
38,15/05/2019,"Kælan Mikla, European Ghost @ Freakout Club",,Concerto,2,,,,,,,,,,,,,,,,,,,
39,16/05/2019,Benjamine Clementine + Guest @ Teatro Celebrazioni,,Concerto,2,,,,,,,,,,,,,,,,,,,
