#,Data,Evento,,Location,Città,Tipologia,Artista/i
1,13/06/2000,"Lour Reed, Bluevertigo, Alanis Morrisette, Youssou N'Dour, Eurythmics @ Concerto del Primo Maggio",,Tor Vergata,Roma,Festival,3
2,26/08/2006,{S}Hammer Metal Fest - 3° Edizione,,Campo sportivo,Castel Volturno (CE),Festival,3
3,13/06/2007,Stone Sour + Slayer + Iron Maiden @ Heineken Jammin Festival,,Parco San Giuliano ,Venezia,Festival,5
4,01/09/2007,Amon Amarth + Stratovarius + Behemoth + Caliban @  Route To Hell Metal Fest,,Palamaggiò,Castelmorrone (CE),Festival,5
5,31/08/2008,24 Grana + Il Teatro Degli Orrori + Tre Allegri Ragazzi Morti @  Caserta Rock Fest,,Area Mercato,Caserta,Festival,3
6,02/09/2008,Linea 77 @ Caserta Rock Fest,,Area Mercato,Caserta,Festival,3
7,03/09/2008,Punkreas + Los Fastidios @ Caserta Rock Fest,,Area Mercato,Caserta,Festival,3
8,18/11/2008,"Negramaro ""La Finestra Tour""",,Palamaggiò,Castelmorrone (CE),Concerto ,1
9,07/05/2009,Ministri presentano Tempi Bui,,Associazione Majeutica,Marcianise (CE)	,Presentazione Album,1
10,08/05/2009,Ministri,,Ex Canapificio,Caserta (CE),Concerto,1
11,11/09/2009,Elton John,,Piazza Plebiscito,Napoli,Concerto,1
12,13/10/2009,99 Posse,,CSA Ex Canapificio,Caserta,Concerto,1
13,26/07/2010,Baustelle @ Giffoni Film Festival,,,Giffoni (SA),Concerto,1
14,20/08/2010,The Prodigy - Limp Bizkit - Foals - Digitaliam @  Pukkelpop 25,,,Hassellt Kiewit (BE),Festival,4
15,21/08/2010,Queens of the stone age - Jonsi - Soulwax - Gogol Bordello - Bad Religon @  Pukkelpop 25,,,Hassellt Kiewit (BE),Festival,4
16,10/10/2010,Micheal Angelo Batio,,Bikers Road,Casapulla (CE),Concerto,1
17,25/02/2011,Concerto d’amore per La Terra dei Fuochi,,Palamaggiò,Palamaggiò,Festival,4
18,08/04/2011,Subsonica (Eden),,Palamaggiò,Palamaggiò,Concerto,4
19,01/05/2011,Caparezza + Francesco De Gregori e Lucio Dalla + Subsonica + Bandabardò + Daniele SIlvestri @  Concerto del Primo Maggio,,Piazza San Giovanni,Roma,Festival,10
20,17/06/2011,Giuliano Palma & The Bluebeathers,,Arenile,Napoli,Concerto,1
21,09/07/2011,Ministri @ Radio Entropia Indie Fest,,,Marigliano (NA),Concerto,1
22,10/07/2011,"Battles, Crocodiles, Underworld @ Neapolis Festival",,Fiera D' Oltremare,Napoli,Festival,3
23,13/07/2011,The Chemical Brothers @ Rock In Roma,,Ippodromo delle Capannelle,Roma,Concerto,1
24,30/07/2011,24 Grana @  Voci Dal Sud Festival,,Area Stadio Comunale,Sant'Arsenio (SA),Festival,1
25,01/08/2011,Afterhours + Verdena @ Voci Dal Sud Festival,,Area Stadio Comunale,Sant'Arsenio (SA),Festival,1
26,02/08/2011,Subsonica @ Voci Dal Sud Festival,,Area Stadio Comunale,Sant'Arsenio (SA),Festival,1
27,08/09/2011,Ministri + Pino Scotto  + Toreggae @ Caserta Rock Fest,,Old River Park,Castelmorrone (CE),Concerto,2
28,09/09/2011,24 Grana + Perturbazione @ Caserta Rock Fest,,Old River Park,Castelmorrone (CE),Concerto,2
29,11/11/2011,Red Hot Chili Peppers + Foals,,Mediolanum Fourm,Assago (MI,Concerto,2
30,,Max Gazzè,,Black Cat,Caserta,Concerto,1
31,16/03/2012,Dente @ Non luoghi musicali,,Centro Commerciale Campania,Marcianise (CE)	,Concerto,2
32,30/03/2012,Riccardo Sinigaliia + Brunori Sas @ Non luoghi musicali,,Centro Commerciale Campania,Marcianise (CE)	,Concerto,2
33,21/04/2012,Teatro degli Orrori,,Casa della Musica,Napoli,Concerto,1
34,01/05/2012,"Caparezza, Subsonica, Afterhours, Mannarino, Elisa, Nina Zilli, A Toys Orchestra @ Concerto del Primo Maggio",,Piazza San Giovanni,Roma,Festival,15
35,27/05/2012,La musica può fare ,,Villa Cristina,Santa Maria Capua Vetere (CE),Festival,3
36,09/05/2012,"The Fabbrica 2.0 - ""Sogni in scatola istruzioni per l'uso"" RELEASE PARTY",,Club 33 Giri,Santa Maria Capua Vetere (CE),Presentazione Album,1
37,09/12/2012,Gnut,,Club 33 Giri,Santa Maria Capua Vetere (CE),Concerto,1
38,24/11/2012,Kreator + Morbid Angel + Nile,,Demodè Club,Bari,Concerto,4
39,01/05/2013,"Elio e Le Storie Tese, Max Gazzé, Cristiano De André, I Ministri @ Concerto del Primo Maggio",,Piazza San Giovanni,Roma,Festival,10
40,02/06/2013,La musica può fare 2,,Villa Cristina,Santa Maria Capua Vetere (CE),Festival,3
41,08/06/2013,Iron Maiden @ Sonisphere Festival,,Arena Fiera Milano,Rho (MI),Festival,4
42,20/07/2013,Elio e le storie tese ,,,Giffoni,Concerto,1
43,07/09/2013,Franco Battiato @  Settembre al Borgo,,,Casertavecchia (CE),Concerto,1
44,13/10/2013,Sabba e gli Incensurabili,,Club 33 Giri,Santa Maria Capua Vetere (CE),Concerto,1
45,17/11/2013,Giovanni Truppi,,Club 33 Giri,Santa Maria Capua Vetere (CE),Concerto,1
46,30/11/2013,Capone & BungtBangt,,Mercato del riuso,Santa Maria Capua Vetere (CE),Concerto,1
47,05/12/2013,Negramaro (Special guest: Pino Daniele) - Una storia semplice,,Palamaggiò,Castelmorrone (CE),Concerto,1
48,15/12/2013,Mai Personal Mood ,,Club 33 Giri,Santa Maria Capua Vetere (CE),Concerto,1
49,16/02/2014,Maleizappa,,Club 33 Giri,Santa Maria Capua Vetere (CE),Concerto,1
50,08/06/2014,Ex-Otago + Gnut + The Fabbrica 2.0  @  La Musica può fare 3 ,,Villa Gaetano Cappabianca,Santa Maria Capua Vetere (CE),Festival,3
